moose_id_barcode,hunter_mortality_source,tick_count,hide_size(cm3),date_killed,gmu,sex,include/exclude
21005370,H,0,100,9/16/2020,1,MALE,1
21005396,H,21,100,10/14/2020,1,MALE,1
21005452,H,0,100,10/5/2020,1,MALE,1
21005506,H,9,100,11/11/2020,1,MALE,1
21005526,H,34,100,11/22/2020,1,MALE,1
21005538,H,1,100,11/5/2020,1,MALE,0
21005546,H,1,100,11/22/2020,1,MALE,1
21005550,H,0,16,11/6/2020,1,MALE,1
21005573,H,6,100,11/22/2020,1,MALE,1
21005591,H,3,100,10/3/2020,1,MALE,1
21005596,H,9,100,10/4/2020,1,MALE,1
21005599,H,0,100,10/4/2020,1,MALE,1
21005744,H,34,100,11/1/2020,1,MALE,1
21005747,H,0,100,10/25/2020,1,MALE,1
21005770,H,2,42.25,10/7/2020,1,MALE,1
21005559,H,0,100,11/29/2020,1,MALE,1
18000911,H,179,100,11/14/2021,1,MALE,1
20005037,H,10,100,11/5/2021,1,MALE,1
21005465,H,61,100,10/7/2021,1,MALE,1
22005173,H,3,100,10/8/2021,1,MALE,1
22005192,H,130,100,10/15/2021,1,MALE,1
22005215,H,0,100,10/12/2021,1,MALE,1
22005385,H,0,100,10/4/2021,1,MALE,0
22005409,H,1,100,10/3/2021,1,MALE,0
22005410,H,0,100,10/3/2021,1,MALE,1
22005412,H,0,100,9/16/2021,1,MALE,0
22005427,H,2,100,9/26/2021,1,MALE,0
21005257,H,19,100,10/6/2020,2,MALE,1
21005501,H,5,100,10/1/2020,2,MALE,1
21005505,H,43,36,10/4/2020,2,MALE,1
21005507,H,58,100,11/6/2020,2,MALE,1
21005515,H,7,100,11/5/2020,2,FEMALE,1
21005553,H,139,100,11/3/2020,2,MALE,1
21005554,H,7,100,11/9/2020,2,MALE,1
21005557,H,31,100,11/6/2020,2,MALE,1
21005562,H,130,100,11/11/2020,2,MALE,1
21005570,H,0,100,9/19/2020,2,MALE,1
21005595,H,8,100,10/2/2020,2,MALE,1
21005628,H,2,100,10/4/2020,2,MALE,1
21005633,H,0,100,10/19/2020,2,MALE,1
21005636,H,43,100,10/17/2020,2,MALE,1
21005737,H,71,100,11/1/2020,2,MALE,1
21005754,H,40,100,11/1/2020,2,MALE,1
21005767,H,0,100,11/2/2020,2,MALE,1
21005567,H,26,100,10/21/2020,2,MALE,1
22005152,H,0,100,10/8/2021,2,MALE,0
22005166,H,160,100,10/2/2021,2,MALE,1
22005194,H,78,100,11/7/2021,2,MALE,1
22005265,H,7,100,9/16/2021,2,MALE,1
22005378,H,20,100,11/2/2021,2,MALE,0
22005389,H,5,100,10/7/2021,2,MALE,1
22005400,H,15,100,10/3/2021,2,MALE,1
22005402,H,33,100,10/6/2021,2,MALE,1
22005403,H,6,100,10/6/2021,2,MALE,1
22005407,H,48,100,9/21/2021,2,MALE,1
22005411,H,11,100,10/5/2021,2,MALE,1
22005413,H,43,100,10/3/2021,2,MALE,1
22005418,H,2,100,10/4/2021,2,MALE,0
22005421,H,206,100,10/5/2021,2,MALE,1
22005423,H,6,100,10/2/2021,2,MALE,1
22005428,H,4,100,10/2/2021,2,MALE,1
22005566,H,34,100,11/1/2021,2,MALE,1
22005567,H,108,100,11/2/2021,2,MALE,1
21005228,H,0,100,9/20/2020,3,MALE,1
21005288,H,0,72.25,10/14/2020,3,MALE,1
21005561,H,3,100,11/14/2020,3,MALE,1
21005572,H,0,100,9/23/2020,3,MALE,1
21005578,H,0,100,9/27/2020,3,MALE,1
21005592,H,0,100,10/2/2020,3,MALE,1
21005604,H,0,100,10/3/2020,3,MALE,0
21005724,H,9,100,11/4/2020,3,MALE,1
21005743,H,96,100,11/3/2020,3,MALE,1
21005540,H,20,100,11/6/2021,3,MALE,1
22005151,H,14,100,10/8/2021,3,MALE,1
22005164,H,62,100,10/2/2021,3,MALE,1
22005171,H,201,100,11/7/2021,3,MALE,1
22005214,H,0,100,10/15/2021,3,MALE,0
22005219,H,126,100,11/1/2021,3,MALE,1
22005393,H,1,100,10/9/2021,3,MALE,1
22005405,H,23,100,10/11/2021,3,MALE,1
22005422,H,16,100,10/5/2021,3,MALE,1
22005432,H,1,100,9/19/2021,3,MALE,1
21005203,H,1,100,10/7/2020,4,MALE,1
21005304,H,2,100,10/11/2020,4,MALE,1
21005309,H,1,100,10/8/2020,4,MALE,1
