GMU,study Area,hh_samples
1,North,27
2,North,36
3,North,19
4,North,24
4A,North,6
5,North Central,18
6,North Central,22
7,North Central,7
8,North Central,9
8A,North Central,8
9,North Central,5
10,North Central,15
10A,North Central,25
11,,0
11A,,0
12,North Central,9
13,,0
14,Central,6
15,,0
16,,0
16A,,0
17,,0
18,,0
19,,0
19A,,0
20,,0
20A,,0
21,,0
21A,,0
22,,0
23,,0
24,Central,1
25,,0
26,,0
27,Central,1
28,,0
29,Central,12
30,,0
30A,Central,1
31,,0
32,,0
32A,,0
33,,0
34,,0
35,,0
36,,0
36A,Central,2
36B,,0
37,,0
37A,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,Central,2
46,,0
47,,0
48,Central,1
49,Central,1
50,Central,8
51,Central,6
52,,0
52A,,0
53,,0
54,Southeast,10
55,Southeast,3
56,Southeast,5
57,,0
58,,0
59,Central,4
59A,Central,2
60,Island Park,16
60A,Island Park,5
61,Island Park,25
62,Island Park,7
62A,Island Park,3
63,Central,1
63A,Island Park,15
64,Island Park,14
65,Island Park,12
66,Southeast,18
66A,Southeast,9
67,Island Park,21
68,,0
68A,Southeast,6
69,Southeast,41
70,Southeast,7
71,Southeast,6
72,Southeast,5
73,Southeast,8
73A,,0
74,Southeast,4
75,Southeast,5
76,Southeast,17
77,Southeast,4
78,Southeast,8
