"rat","diet","type","treatment","amount","count","dietletter"
1,"cariogenic/0.25%/A","cariogenic","A","0.25%",26,"a"
3,"cariogenic/1.00%/A","cariogenic","A","1.00%",24,"c"
4,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",20,"g"
5,"cariogenic/0.50%/B","cariogenic","B","0.50%",16,"e"
6,"cariogenic/1.00%/B","cariogenic","B","1.00%",21,"f"
7,"cariogenic/0.50%/A","cariogenic","A","0.50%",25,"b"
8,"cariogenic/0.00%/none","cariogenic","none","0.00%",25,"h"
9,"cariogenic/0.25%/B","cariogenic","B","0.25%",27,"d"
12,"cariogenic/0.25%/A","cariogenic","A","0.25%",27,"a"
13,"cariogenic/0.25%/B","cariogenic","B","0.25%",27,"d"
14,"cariogenic/0.00%/none","cariogenic","none","0.00%",27,"h"
16,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",18,"g"
17,"cariogenic/0.50%/B","cariogenic","B","0.50%",28,"e"
18,"cariogenic/1.00%/A","cariogenic","A","1.00%",15,"c"
19,"cariogenic/1.00%/B","cariogenic","B","1.00%",25,"f"
20,"cariogenic/0.50%/A","cariogenic","A","0.50%",20,"b"
21,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
23,"cariogenic/1.00%/A","cariogenic","A","1.00%",26,"c"
24,"cariogenic/0.50%/A","cariogenic","A","0.50%",27,"b"
25,"cariogenic/1.00%/B","cariogenic","B","1.00%",24,"f"
26,"cariogenic/0.50%/B","cariogenic","B","0.50%",23,"e"
27,"cariogenic/0.25%/B","cariogenic","B","0.25%",27,"d"
29,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",23,"g"
31,"cariogenic/0.50%/B","cariogenic","B","0.50%",26,"e"
32,"cariogenic/0.50%/A","cariogenic","A","0.50%",26,"b"
33,"cariogenic/0.00%/none","cariogenic","none","0.00%",27,"h"
34,"cariogenic/0.25%/A","cariogenic","A","0.25%",27,"a"
36,"cariogenic/1.00%/B","cariogenic","B","1.00%",23,"f"
37,"cariogenic/1.00%/A","cariogenic","A","1.00%",21,"c"
39,"cariogenic/0.25%/B","cariogenic","B","0.25%",28,"d"
40,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",17,"g"
41,"cariogenic/0.50%/A","cariogenic","A","0.50%",19,"b"
42,"cariogenic/1.00%/A","cariogenic","A","1.00%",23,"c"
44,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
46,"cariogenic/0.25%/B","cariogenic","B","0.25%",25,"d"
47,"cariogenic/1.00%/B","cariogenic","B","1.00%",27,"f"
48,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",22,"g"
49,"cariogenic/0.50%/B","cariogenic","B","0.50%",25,"e"
50,"cariogenic/0.25%/A","cariogenic","A","0.25%",26,"a"
51,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",21,"g"
52,"cariogenic/0.00%/none","cariogenic","none","0.00%",25,"h"
55,"cariogenic/0.50%/A","cariogenic","A","0.50%",23,"b"
57,"cariogenic/0.25%/B","cariogenic","B","0.25%",26,"d"
58,"cariogenic/0.50%/B","cariogenic","B","0.50%",28,"e"
59,"cariogenic/1.00%/B","cariogenic","B","1.00%",18,"f"
60,"cariogenic/1.00%/A","cariogenic","A","1.00%",23,"c"
61,"cariogenic/0.00%/none","cariogenic","none","0.00%",23,"h"
63,"cariogenic/0.50%/B","cariogenic","B","0.50%",22,"e"
64,"cariogenic/0.50%/A","cariogenic","A","0.50%",24,"b"
65,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",25,"g"
66,"cariogenic/0.25%/A","cariogenic","A","0.25%",25,"a"
67,"cariogenic/0.25%/B","cariogenic","B","0.25%",23,"d"
70,"cariogenic/1.00%/A","cariogenic","A","1.00%",23,"c"
71,"cariogenic/1.00%/B","cariogenic","B","1.00%",24,"f"
72,"cariogenic/0.25%/A","cariogenic","A","0.25%",28,"a"
74,"cariogenic/0.25%/B","cariogenic","B","0.25%",18,"d"
75,"cariogenic/0.50%/B","cariogenic","B","0.50%",22,"e"
76,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
78,"cariogenic/0.50%/A","cariogenic","A","0.50%",24,"b"
79,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",18,"g"
80,"cariogenic/1.00%/A","cariogenic","A","1.00%",22,"c"
82,"cariogenic/0.00%/none","cariogenic","none","0.00%",27,"h"
83,"cariogenic/0.25%/B","cariogenic","B","0.25%",22,"d"
84,"cariogenic/1.00%/A","cariogenic","A","1.00%",18,"c"
85,"cariogenic/0.50%/B","cariogenic","B","0.50%",22,"e"
86,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",22,"g"
87,"cariogenic/1.00%/B","cariogenic","B","1.00%",23,"f"
88,"cariogenic/0.50%/A","cariogenic","A","0.50%",22,"b"
89,"cariogenic/0.25%/A","cariogenic","A","0.25%",22,"a"
91,"cariogenic/0.25%/A","cariogenic","A","0.25%",25,"a"
92,"cariogenic/1.00%/A","cariogenic","A","1.00%",25,"c"
94,"cariogenic/0.25%/B","cariogenic","B","0.25%",24,"d"
95,"cariogenic/0.50%/B","cariogenic","B","0.50%",24,"e"
96,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",23,"g"
98,"cariogenic/1.00%/B","cariogenic","B","1.00%",28,"f"
99,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
100,"cariogenic/0.50%/A","cariogenic","A","0.50%",28,"b"
101,"cariogenic/0.25%/B","cariogenic","B","0.25%",27,"d"
103,"cariogenic/1.00%/B","cariogenic","B","1.00%",23,"f"
104,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",19,"g"
105,"cariogenic/0.00%/none","cariogenic","none","0.00%",23,"h"
107,"cariogenic/0.50%/A","cariogenic","A","0.50%",27,"b"
108,"cariogenic/0.25%/A","cariogenic","A","0.25%",26,"a"
109,"cariogenic/0.50%/B","cariogenic","B","0.50%",24,"e"
110,"cariogenic/1.00%/A","cariogenic","A","1.00%",14,"c"
111,"cariogenic/0.00%/none","cariogenic","none","0.00%",24,"h"
112,"cariogenic/0.50%/A","cariogenic","A","0.50%",25,"b"
113,"cariogenic/1.00%/A","cariogenic","A","1.00%",21,"c"
115,"cariogenic/0.25%/B","cariogenic","B","0.25%",24,"d"
117,"cariogenic/0.50%/B","cariogenic","B","0.50%",26,"e"
118,"cariogenic/0.25%/A","cariogenic","A","0.25%",21,"a"
119,"cariogenic/1.00%/B","cariogenic","B","1.00%",24,"f"
120,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",20,"g"
121,"cariogenic/1.00%/A","cariogenic","A","1.00%",27,"c"
122,"cariogenic/0.50%/B","cariogenic","B","0.50%",20,"e"
124,"cariogenic/0.50%/A","cariogenic","A","0.50%",24,"b"
126,"cariogenic/0.25%/A","cariogenic","A","0.25%",25,"a"
127,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",20,"g"
128,"cariogenic/0.25%/B","cariogenic","B","0.25%",24,"d"
129,"cariogenic/1.00%/B","cariogenic","B","1.00%",27,"f"
130,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
131,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",13,"g"
133,"cariogenic/1.00%/B","cariogenic","B","1.00%",27,"f"
134,"cariogenic/0.50%/B","cariogenic","B","0.50%",25,"e"
135,"cariogenic/0.00%/none","cariogenic","none","0.00%",26,"h"
136,"cariogenic/0.25%/A","cariogenic","A","0.25%",27,"a"
137,"cariogenic/0.50%/A","cariogenic","A","0.50%",26,"b"
138,"cariogenic/1.00%/A","cariogenic","A","1.00%",22,"c"
139,"cariogenic/0.25%/B","cariogenic","B","0.25%",27,"d"
141,"cariogenic/0.50%/A","cariogenic","A","0.50%",27,"b"
142,"cariogenic/0.00%/none","cariogenic","none","0.00%",25,"h"
143,"non-cariogenic/0.00%/none","non-cariogenic","none","0.00%",20,"g"
144,"cariogenic/1.00%/A","cariogenic","A","1.00%",17,"c"
146,"cariogenic/0.25%/B","cariogenic","B","0.25%",26,"d"
148,"cariogenic/0.50%/B","cariogenic","B","0.50%",28,"e"
149,"cariogenic/1.00%/B","cariogenic","B","1.00%",27,"f"
150,"cariogenic/0.25%/A","cariogenic","A","0.25%",22,"a"
